index,timestamp,en_text,zh_opus,zh_translated
291,"00:18:08,200 --> 00:18:09,688","Check the perimeter, snoop a little.",牛局迟早会把我们拆散的,"检查周边,偷一点."
292,"00:18:09,713 --> 00:18:11,120","We find nothing, we bail.",去外围看看 顺便打听一下,"如果我们找不到什么,我们会放弃."
293,"00:18:11,440 --> 00:18:15,640","But if I'm right, no one will question whether you and I belong together again.",就不会有人质疑   你我是否还能再次在一起,"但如果我是对的,没有人会质疑 你和我是否应该再次在一起."
294,"00:18:16,590 --> 00:18:17,550",We need this.,就不会有人质疑   你我是否还能再次在一起,我们需要这个.
295,"00:18:19,232 --> 00:18:20,269",Fine.,我们需要这个,没有问题.
296,"00:18:20,447 --> 00:18:22,500",But we'll still have to get through security.,好吧,但我们仍然会有 通过安全.
297,"00:18:22,540 --> 00:18:26,061","And in fancy town, a fox and a bunny won't exactly blend in.",可我们还是得过安检,"在一个豪华的城市里, 一个狐和一个子不会完全合并."
298,"00:18:26,318 --> 00:18:28,780",That's why we'll be undercover!,在繁华的小镇上  住着一只狐狸和一只兔子  完全融入不了环境！,这就是为什么我们要做秘密工作的原因!
299,"00:18:32,660 --> 00:18:34,015","See, you're still in the driver's seat.",你看 你仍然掌握着主动权,"你看,你仍然是 在司机的座位上."
300,"00:18:34,429 --> 00:18:39,004","♪ Come on, get on up We're wild and we can't be tamed ♪",♪ 快来 一起舞动起来♪,"♪ 走上吧,上去吧 我们是野生的,我们不能被养"
301,"00:18:39,040 --> 00:18:41,740","♪ And we're turnin' the floor into A zoo, ooh, ooh ♪",♪ 我们自由奔放 无法被驯服 ♪,"我们将把地板变成 一个动物园,,"
302,"00:18:42,080 --> 00:18:43,316",Here we go. Here we go.,♪ 让舞池变成我们的动物园  ♪,我们开始了. 我们开始了.
303,"00:18:43,341 --> 00:18:44,080",Let's go!,♪ 让舞池变成我们的动物园  ♪,我们走吧!
304,"00:18:44,800 --> 00:18:46,900","Zootopia, let me hear you!",开始了 开始了 出发！我们走！,"动物园,让我听你!"
305,"00:18:49,000 --> 00:18:52,895","♪ We live a crazy world, caught up in a rat race ♪",疯狂动物城 让我听到你们的声音！,"我们生活在一个疯狂的世界, 在一个老鼠竞赛中被抓住 ♪"
306,"00:18:52,920 --> 00:18:56,440",♪ Concrete jungle life is sometimes a mad place ♪,♪ 在这疯狂的世界里 我们奔波不息 ♪,♪ 混凝土的林生活 有时是个疯狂的地方
307,"00:18:56,520 --> 00:18:59,960",♪ It's you and me together at the end of a wild day ♪,♪ 钢筋丛林的生活  有时像个疯狂的舞台 ♪,♪这是你和我在一起 在狂野的一天结束时
308,"00:19:00,080 --> 00:19:03,680",♪ Don't keep it all bottled up and release your energy ♪,♪ 你我相伴 度过这狂野的一天  ♪,"♪不要把一切都放在瓶子里 起,释放你的能量"
309,"00:19:04,560 --> 00:19:09,030","♪ Hey, oh-ayy, only reason we are here is to celebrate ♪",♪ 别把情绪压在心底 尽情释放能量 ♪,"♪,,唯一的原因 我们来这里是为了庆祝"
310,"00:19:09,054 --> 00:19:12,555",♪ in a place where anyone can be anything ♪,♪ 我们来到这里的唯一理由就是庆祝 ♪,"♪ 在一个地方,任何人都 可以做任何事情"
311,"00:19:12,680 --> 00:19:18,495","♪ Hold on to this moment, don't let it fade away Baby, keep the music playin' ♪",♪ 紧抓这一刻 不让它消散  ♪,"♪ 坚持这个时刻,不要让它消失 宝贝,继续播放音乐 ♪"
312,"00:19:18,620 --> 00:19:22,695","♪ Come on, get on up We're wild and we can't be tamed ♪",♪    宝贝 让音乐继续响起  ♪,"♪ 走上吧,上去吧 我们是野生的,我们不能被养"
313,"00:19:22,720 --> 00:19:25,895","♪ And we're turnin' the floor into A zoo, ooh, ooh ♪",♪我们自由奔放 无法被驯服♪,"我们将把地板变成 一个动物园,,"
314,"00:19:25,920 --> 00:19:29,935","♪ Come on, keep it up It's fun if you're down to play ♪",♪ 让舞池再次变成我们的动物园 ♪,"♪ 快吧,继续这样做 如果你下来玩,就很有趣."
315,"00:19:30,060 --> 00:19:33,615","♪ And we're turnin' the floor into A zoo, ooh, ooh ♪",♪只要你愿意参与 快乐就在眼前♪,"我们将把地板变成 一个动物园,,"
316,"00:19:36,240 --> 00:19:38,661","Oh, cats and lights. I know better!",♪让舞池再次变成我们的动物园 ♪,"猫和灯,我知道更好!"
317,"00:19:38,685 --> 00:19:40,475","♪ A zoo, ooh, ooh ♪",猫和灯光 我可比谁都清楚……,"♪一个动物园,, ♪"
318,"00:19:40,580 --> 00:19:44,300","♪ Come on, get on up We're wild and we can't be tamed ♪",♪ 在动物园 哦 哦 ♪,"♪ 走上吧,上去吧 我们是野生的,我们不能被养"
319,"00:19:44,400 --> 00:19:47,724","♪ And we're turnin' the floor into A zoo, ooh, ooh ♪",♪ 快来 一起舞动起来！我们自由奔放 无法被驯服♪,"我们将把地板变成 一个动物园,,"
320,"00:19:47,869 --> 00:19:49,720",Mayor Winddancer has arrived.,♪ 我们要把舞池变成动物园 ♪,市长温德丹瑟已经到达了.
321,"00:19:50,503 --> 00:19:54,480","- Star of the Revenge Trilogy, The Neighsayer. - No pictures, please.",哦 马飞扬市长已抵达......,"- 报复三部曲的明星,邻居. - 没有照片,请."
322,"00:19:55,420 --> 00:19:58,996","Come on. And that, and that one, and then this one.",请勿拍照,"走吧,走吧,走吧. 那个,那个,然后这个."
323,"00:19:59,032 --> 00:20:02,043","Mr. Lynxley, Mr. Lynxley! When will you begin the Tundratown expansion?",来吧 还有那个 还有那个 然后是这个,"林克斯利先生,林克斯利先生! 你什么时候开始扩建Tundratown?"
324,"00:20:02,068 --> 00:20:04,409","- Come on, Dad. - Have a wonderful time at the party.",林雪猁先生 林雪猁先生！您何时开始苔原镇的扩建工程？,"- 来吧,爸爸. - 在聚会上好好玩."
325,"00:20:04,433 --> 00:20:06,560",♪ It's fun if you're down to play ♪,林雪猁先生 林雪猁先生！您何时开始苔原镇的扩建工程？,"♪如果你下来玩,就很有趣 ♪"
326,"00:20:06,700 --> 00:20:10,560","♪ And we're turnin' the floor into A zoo, ooh, ooh ♪",♪快乐就在眼前♪,"我们将把地板变成 一个动物园,,"
327,"00:20:25,880 --> 00:20:27,195",No snow.,没有雪,没有雪.
328,"00:20:28,580 --> 00:20:29,800",This one's warmer.,没有雪,这一个更温暖.
329,"00:20:30,191 --> 00:20:33,295",Reptile in Tundratown might need that to survive the cold.,没有雪,在图德拉图镇的爬行动物 可能需要它来生存下来.
330,"00:20:35,780 --> 00:20:37,043","Oh my God, a viper!",或许需要它才能在寒冷中生存下来,"我的上帝,一个蛇!"
331,"00:20:37,523 --> 00:20:40,001",A window viper. Yeah?,或许需要它才能在寒冷中生存下来,一个窗口蛇. 是的?
332,"00:20:44,580 --> 00:20:45,838",Backdoor ajar.,对吗？呵呵 哎呀,后门打开.
333,"00:20:45,927 --> 00:20:47,520",Anyone could have left it like that.,对吗？呵呵 哎呀,任何人都可以 让它变得如此.
334,"00:20:47,600 --> 00:20:50,001","And you said snoop a little, not break and ent-",后门虚掩着,"你说一点, 没有破裂和进..."
335,"00:20:51,709 --> 00:20:53,455","Oh, we were always going inside. Got it.",你说的是稍微窥探一下 别破门而入 哦 上帝！,我们总是进去. 我明白了.
336,"00:20:53,480 --> 00:20:55,021",Same page means your page.,你说的是稍微窥探一下 别破门而入 哦 上帝！,同一个页面意味着你的页面.
337,"00:20:55,046 --> 00:20:56,530","It's called a hustle, sweetheart.",你说的是稍微窥探一下 别破门而入 哦 上帝！,"这叫做忙,亲爱的."
338,"00:20:56,554 --> 00:20:58,249",You change out here. I get the van.,我们总是要进去的  明白了,你在这里换衣服. 我带着卡车.
339,"00:21:15,034 --> 00:21:18,140","It's the Zootennial Gala, a bunny comes prepared.",哼 这是动物园盛典  兔子是有备而来,"这是动物园年会, 一只子准备好来."
340,"00:21:20,726 --> 00:21:24,075",You know I used to dream of infiltrating a place like this.,哼 这是动物园盛典  兔子是有备而来,你知道我曾经梦见过 透到这样的地方.
341,"00:21:30,514 --> 00:21:33,800","You know, this is not your worst idea.",你知道吗 我以前常常梦见 潜入这种地方,"你知道,这不是你最糟糕的想法."
342,"00:21:34,354 --> 00:21:36,160","Wow, that was almost a compliment.",你知道........这并非你最糟糕的主意,",这几乎是一个恭维."
343,"00:21:36,680 --> 00:21:38,729",Your worst idea is what you did with your ears.,你知道........这并非你最糟糕的主意,你最糟糕的想法是 你用你的耳朵做了.
344,"00:21:40,645 --> 00:21:41,419",Alright.,那几乎算是一种赞美了,很好.
345,"00:21:54,164 --> 00:22:00,935",Welcome to the Zootennial Gala. Featuring the original Lynxley Journal.,欢迎参加动物世纪庆典晚会 本次晚会将展出原版林雪猁日记,"欢迎来到动物园年会. 在""林克斯利日报""上."
346,"00:22:00,960 --> 00:22:05,180",Why would a snake want to steal some old book anyway?,欢迎参加动物世纪庆典晚会 本次晚会将展出原版林雪猁日记,"蛇为什么要这样做? 无论如何,偷一些旧书?"
347,"00:22:05,459 --> 00:22:06,469",I don't know.,欢迎参加动物世纪庆典晚会 本次晚会将展出原版林雪猁日记,我不知道.
348,"00:22:08,014 --> 00:22:11,700",But no one is gonna steal it because we are here to protect it.,蛇为什么要偷一本旧书呢？,但没有人会偷它. 因为我们来保护它.
349,"00:22:15,369 --> 00:22:17,600",The journal is in the reserved section.,因为我们来这里就是为了保护它,这份日记在预留区.
350,"00:22:18,238 --> 00:22:18,800",Okay.,嗯 该日记位于特藏区,没有什么问题.
351,"00:22:20,079 --> 00:22:22,155",- Come on. - Slow down.,嗯 该日记位于特藏区,"- 走吧,走吧. - 放慢速度."
352,"00:22:22,266 --> 00:22:25,759",You want to fit in? Commando is not gonna cut it.,来吧 慢点,你想融入吗? 司令部不会打断.
353,"00:22:26,206 --> 00:22:27,960","It's not just the clothes, mkay?",你想融入其中,"这不仅仅是衣服,Mkay?"
354,"00:22:28,210 --> 00:22:29,821",It is the vibe.,光靠硬汉作风可不行,这是气氛.
355,"00:22:30,022 --> 00:22:31,094",Good to see ya.,不仅仅是衣服,很高兴见到你.
356,"00:22:31,205 --> 00:22:32,479","Hey, real nice humps.",不仅仅是衣服,",非常漂亮的子."
357,"00:22:32,733 --> 00:22:35,053","Oh, is that real mink? It's real fox.",就是这种氛围,",这是真正的吗? 这是真正的狐."
358,"00:22:35,981 --> 00:22:38,092",Get invited to a lot of these?,哦 那是真貂皮吗？那是真狐狸毛吗？,你会被邀请到很多地方吗?
359,"00:22:38,550 --> 00:22:40,280",Invited? No.,哈哈哈哈！经常受邀参加这类活动吗？,你被邀请了吗? 没有.
360,"00:22:40,325 --> 00:22:42,568",But there's other reasons to hobnob.,哈哈哈哈！经常受邀参加这类活动吗？,但还有其他理由.
361,"00:22:44,555 --> 00:22:47,018","Madam, excuse me. Is this yours?",不 但还有其他理由可以打交道,"太太,请原谅我. 这是你的吗?"
362,"00:22:47,043 --> 00:22:48,617","Why, yes.",啊 夫人 打扰一下 这是您的吗？,"为什么,是的."
363,"00:22:48,662 --> 00:22:50,202","Well, allow me.",啊 夫人 打扰一下 这是您的吗？,允许我.
364,"00:22:53,238 --> 00:22:56,173","Clever fox. Ooh, there.",好吧 请容我来……好的……,"聪明的狐. ,就在这里."
365,"00:22:56,866 --> 00:22:59,354",I don't think it has enough guards.,狡猾的狐狸,我不认为它有足够的警卫.
366,"00:23:00,000 --> 00:23:02,088",I'll get a closer look. Watch my six.,呵！我觉得那里的守卫不够,我会仔细看看. 警我的六.
367,"00:23:08,921 --> 00:23:10,401",Bogo-alert.,嗯呵,警报警报.
368,"00:23:23,967 --> 00:23:25,883",Cover's made of metal.,封面是金属制作的,封面是金属的.
369,"00:23:25,908 --> 00:23:29,542",Gruffalo Buffalo has joined the mix. Three o'clock.,封面是金属制作的,子子加入了这个组合. 在三点.
370,"00:23:37,947 --> 00:23:40,001","- Oh, excuse me. - Oh no, sorry.",哦 对不起,"- 抱歉. - ,不,我很抱歉."
371,"00:23:40,026 --> 00:23:43,115","- I am so sorry. - Here, let me just, oh nope-",哦 对不起,"- 我很抱歉. - 这里,让我,,不..."
372,"00:23:43,204 --> 00:23:45,500",That belongs to you. I apologize.,哎呀 让我来....... 哦不行,"这属于你,我道歉."
373,"00:23:46,417 --> 00:23:47,903","Oh gosh, he hates me.",那是你的,",他恨我."
374,"00:23:47,928 --> 00:23:50,458","- Here. - Ah, you're my hero.",哈哈哈哈,- 这里. - 你是我的英雄.
375,"00:23:50,658 --> 00:23:54,175","Well, I just like to be prepared for any possible scenario.",你是我的英雄,我只是想做好准备. 任何可能的情况.
376,"00:23:54,443 --> 00:23:56,831",Which is not a weird thing to say at a party.,嗯 只是想为任何可能的情况做好准备,在聚会上说这不是一件奇怪的事情.
377,"00:23:56,954 --> 00:24:00,336","Well, I just mopped a spill with that guy's tail, so...",在派对上说这话倒也不奇怪,"好吧,我刚清除了一个泄漏 这家伙的尾巴,所以..."
378,"00:24:01,120 --> 00:24:02,120",Paw!,嗯 我刚才用那家伙的尾巴  擦了擦洒出来的东西,子!
379,"00:24:03,941 --> 00:24:06,072",Pawbert! I am Pawbert! Hi.,所以...... 宝,"伯特,我是伯特!"
380,"00:24:06,307 --> 00:24:09,901","- Judy. I'm Judy Hopps. - Ah, what the pork?",嗨 朱迪 我是朱迪·霍普斯,"- 朱迪,我是朱迪霍普斯. - 什么是猪肉?"
381,"00:24:09,934 --> 00:24:12,166","Well, 'tis nice to meet you Judy-",啊！搞什么名堂？,"很高兴见到你,朱迪."
382,"00:24:12,208 --> 00:24:14,500","Wait, Judy Hopps, the Judy Hopps?",很高兴见到你 朱迪 等等,"等待,朱迪霍普斯,朱迪霍普斯?"
383,"00:24:15,000 --> 00:24:16,200",Are you working this?,朱迪·霍普斯？ 朱迪·霍普斯？,你正在做这个吗?
384,"00:24:16,240 --> 00:24:18,080","I mean, you're clearly working it.",你在负责这项工作吗？,"我的意思是,你显然在努力."
385,"00:24:18,820 --> 00:24:20,440",But are you actually working this?,我的意思是 你显然很在行,但你真的在工作吗?
386,"00:24:21,217 --> 00:24:22,815","No, I'm actually...",但....你真的在做这件事吗？,"不,我实际上..."
387,"00:24:22,840 --> 00:24:23,975","Well, it's just a hunch.",呃 不 我其实,只是一个直觉.
388,"00:24:24,000 --> 00:24:25,520",Protecting that.,呃 不 我其实,保护它.
389,"00:24:26,597 --> 00:24:29,543",Good. I don't think it has enough guards.,其实 这个嘛 只是个预感罢了,这很好. 我不认为它有足够的警卫.
390,"00:24:29,790 --> 00:24:31,028","Uh, that was my joke.",我认为警卫不够充分,",那是我的笑话."
391,"00:24:31,307 --> 00:24:32,840",And there's nothing here.,那是我开的玩笑,这里没有什么.
392,"00:24:33,040 --> 00:24:35,369",Let's call it a night. Hopps?,这里什么也没有,让我们结束. 跳起来?
393,"00:24:42,088 --> 00:24:43,079","Well, we should...",我们应该.....,我们应该...
394,"00:24:43,104 --> 00:24:44,742",It was nice to meet you.,我们应该.....,很高兴见到你.
395,"00:24:44,767 --> 00:24:45,916","Yes, and you?",很高兴见到你,"是的,你?"
396,"00:24:45,980 --> 00:24:47,222",Bon appétit.,很高兴见到你,快乐的食欲.
397,"00:24:47,880 --> 00:24:51,195","If at any point tonight you choose to eat, bon appétit then.",是的 如果你选择吃 那就祝你胃口好,"如果今晚任何时候 那么选择吃,好吃吧."
398,"00:24:51,496 --> 00:24:53,840","You're supposed to be off stage, Pawbert.",是的 如果你选择吃 那就祝你胃口好,"你应该离开舞台,帕伯特."
399,"00:24:53,960 --> 00:24:56,918","- Yeah, get off stage, Pawbert. - Wait are-",宝伯特 你应该下台了,"- 是的,离开舞台,Powbert. - 待一点."
400,"00:24:56,943 --> 00:24:59,956","- Are you? - Yeah, I am a Lynxley.",我们.....你是？是的,"- 你是吗? - 是的,我是林克斯利."
401,"00:24:59,980 --> 00:25:01,735","Or, you know, I'm trying to be.",我是林雪猁家族......,"或者,你知道的,我试图做."
402,"00:25:01,760 --> 00:25:04,015","Now, Pawbert. Come on, Pappy.",或者 你知道的 我正在努力成为那样的人........,"现在,帕伯特. 快吧,爸爸."
403,"00:25:04,040 --> 00:25:05,255","I got you, Pa, don't you worry.",来吧 老爹,"我有你,爸爸,不要担心."
404,"00:25:05,280 --> 00:25:06,255","No, I have him.",老爹 我扶着你呢 别担心,"没有,我有他."
405,"00:25:06,280 --> 00:25:09,160","All right, let's get this thing started.",好了 让我们开始吧！,"好吧,让我们开始."
406,"00:25:13,800 --> 00:25:16,815","- Welcome to the Zootennial Gala. - Hey, Hopps.",欢迎来到动物嘉年华盛典,"- 欢迎来到动物园年会. - 你好,霍普斯."
407,"00:25:16,840 --> 00:25:18,640",I think I might actually...,嘿 霍普斯,我认为我可能实际上...
408,"00:25:18,760 --> 00:25:19,920",I think I've got something!,我觉得我可能真的.......,我觉得我找到了东西!
409,"00:25:21,080 --> 00:25:22,520",Look at you all.,看看你们所有人,看着你们所有人.
410,"00:25:23,160 --> 00:25:24,599",Good to see you.,哈哈 很高兴见到你,很高兴见到你.
411,"00:25:25,124 --> 00:25:29,333",It is with great pleasure that I introduce the third generation...,我怀着无比欣喜的心情 将介绍第三代远见卓识者……,我很高兴向您介绍 第三代...
412,"00:25:29,417 --> 00:25:31,735","Carrots, can you hear me? I have a trail.",小不点 你听见我说话了吗？,"胡卜,你能听到我吗? 我有个线索."
413,"00:25:31,760 --> 00:25:36,167","The legacy of our great city, Milton Lynxley!",我们伟大城市的遗产......,"我们伟大的遗产 城市,密尔顿林克斯利!"
414,"00:25:36,417 --> 00:25:38,075",- Thank you. - Carrots.,谢谢,- 谢谢你. - 胡卜.
415,"00:25:38,183 --> 00:25:39,780",- Thank you very much. - Carrots!,小不点！  非常非常感谢,- 谢谢你. - 胡卜!
416,"00:25:41,208 --> 00:25:42,455",What are you doing here?,你在这里做什么？,你在这里做什么?
417,"00:25:42,480 --> 00:25:44,931","- Chief, she was right. - You're done.",牛局  她说对了......,"- 首席,她是对的. - 你已经完成了."
418,"00:25:44,956 --> 00:25:45,933",You're both done.,你们俩都完成了,你们两个都完成了.
419,"00:25:45,958 --> 00:25:49,901",My grandpa had a dream to build a city for all of us...,我爷爷曾梦想建造这座城市 让所有人都能真正地享受生活,我的祖父有一个梦 为我们所有人建立一个城市...
420,"00:25:49,936 --> 00:25:50,635",Nick?,尼克,尼克?
421,"00:25:51,500 --> 00:25:55,542",To truly be better together.,...真正地...变得更好...携手同行,为了真正更好地在一起.
422,"00:26:05,917 --> 00:26:07,200",There's a snake!,有条蛇  啊.......,这里有一个蛇!
423,"00:26:09,292 --> 00:26:10,292","Go, go, go!",快走,"走吧,走吧,走吧!"
424,"00:26:10,492 --> 00:26:12,408","I will remember you, zebra!",我会记住你的 斑马,"我会记住你,斑马!"
425,"00:26:35,333 --> 00:26:36,875",Judy! Judy!,朱迪,"朱迪,朱迪!"
426,"00:26:42,167 --> 00:26:43,042",I knew it!,我就知道,我知道!
427,"00:27:01,140 --> 00:27:01,980",Stop!,哇   住手  求你了 你没必要伤害他,停下来!
428,"00:27:03,375 --> 00:27:05,480","Please, you don't have to hurt him.",哇   住手  求你了 你没必要伤害他,请你不要伤害他.
429,"00:27:06,938 --> 00:27:07,914",Hurt him?,哇   住手  求你了 你没必要伤害他,伤害他吗?
430,"00:27:08,773 --> 00:27:12,458",Snakes never hurt anyone.,蛇从不伤害任何人,蛇从来没有伤害过任何人.
431,"00:27:13,011 --> 00:27:14,767",We aren't the bad guys.,蛇从不伤害任何人,我们不是坏人.
432,"00:27:15,379 --> 00:27:16,351",They are.,我们不是他们那样的坏人,他们是.
433,"00:27:17,764 --> 00:27:22,132",And this journal holds the secret that will prove it.,而这本日记里  正藏着能证明这一切的秘密,这份日记 有一个秘密可以证明它.
434,"00:27:22,858 --> 00:27:26,900",I have to prove it. Please.,而这本日记里  正藏着能证明这一切的秘密,我必须证明. 请你.
435,"00:27:28,903 --> 00:27:31,663",This is our only chance to set things right.,我必须证明这一点 拜托了,这是我们唯一的机会来纠正事情.
436,"00:27:32,378 --> 00:27:38,560","And when I do, my family will finally be able to come home.",这是我们唯一能拨乱反正的机会,"当我这样做时,我的家人 终于能回家了."
437,"00:27:39,783 --> 00:27:40,725",Oh no!,我的家人终于可以回家了,没有!
438,"00:27:41,102 --> 00:27:41,971",I am here!,我的家人终于可以回家了,我在这里!
439,"00:27:42,160 --> 00:27:45,336","Hopps and Wilde, dream team. We got him.",哦 不 我来了,"霍普斯和怀尔德,梦想团队. 我们抓到了他."
440,"00:27:45,440 --> 00:27:48,180","Or her. Reptiles, it's like, who knows?",霍普斯和王尔德 梦幻组合,"也不是她. 爬行动物,就像,谁知道?"
441,"00:27:49,920 --> 00:27:51,600",The cops are right behind us.,我们抓到他了  或者她了 爬行动物  谁知道呢？,警方在我们身后.
442,"00:27:52,816 --> 00:27:54,421",Kill the snake.,哈哈哈哈 警察就在我们身后！,杀死蛇.
443,"00:27:54,499 --> 00:27:55,675",We'll burn the journal.,哈哈哈哈 警察就在我们身后！,我们要烧掉日记.
444,"00:27:55,700 --> 00:27:58,020","If he wants it, it's dangerous.",杀死那条蛇,"如果他想要它,这是危险的."
445,"00:27:58,917 --> 00:28:03,405",And then you two will file a report that he attacked us,如果他想要 我们就把日记烧掉,然后你们两个将提交一份报告. 他攻击了我们.
446,"00:28:03,450 --> 00:28:06,680",and you will keep your mouths shut.,你们俩要提交一份报告 说他袭击了我们,你会闭上嘴.
447,"00:28:09,472 --> 00:28:10,905",Step aside.,而你必须闭上嘴,走一边.
448,"00:28:14,360 --> 00:28:15,840",Put out the fire!,让开,灭火吧!
449,"00:28:17,000 --> 00:28:18,773","- Carrots, come on! - Help me save him!",啊,"- 胡卜,来吧! - 帮我救他!"
450,"00:28:18,798 --> 00:28:20,068","- Carrots, we need- - Nick!",不 快灭火！,"- 胡卜,我们需要-- - 尼克!"
451,"00:28:21,220 --> 00:28:22,840",Cold! Cold!,来吧 帮我  救救他们！,寒冷! 寒冷!
452,"00:28:29,833 --> 00:28:30,833",Chief.,啊啊  哦哦,总裁.
453,"00:28:31,040 --> 00:28:33,369",He'll be okay. Anti-venom.,啊啊  哦哦,他会很好. 抗毒药.
454,"00:28:33,394 --> 00:28:35,514",- He can be saved with anti-venom. - Hopps!,他会没事的,- 他可以用抗毒药拯救. - 跳起来!
455,"00:28:35,570 --> 00:28:37,021",What did you do?,他会没事的,你做了什么?
456,"00:28:37,121 --> 00:28:38,655",- Hoggbottom! - They're helping the snake!,抗蛇毒血清！,- 霍格博特姆! - 他们正在帮助蛇!
457,"00:28:38,680 --> 00:28:39,880",They're trying to kill the chief!,他可以用抗蛇毒血清救活！,他们试图杀死首席!
458,"00:28:39,905 --> 00:28:41,307","Hoggbottom, no, please-",霍普斯,"霍格博特姆,不,请..."
459,"00:28:41,651 --> 00:28:42,947",My page. Let's go.,你做了什么？,我的页面. 我们走吧.
460,"00:28:42,972 --> 00:28:44,255","Wait, wait, wait, I need the journal!",猪贝贝！ 他们在帮助那条蛇！,"等,等,等,我需要日记!"
461,"00:28:44,280 --> 00:28:45,880",And probably a sweater!,拜托,也许是一件毛衣!
462,"00:28:49,175 --> 00:28:50,269",Cold!,可能还要一件毛衣！,寒冷!
463,"00:28:56,988 --> 00:28:58,625","Next time, we stay home?",趴在地上 等等,"下次,我们在家吗?"
464,"00:29:03,606 --> 00:29:05,195","No, stop them!",嗨  下次  我们还是待在家里吧,"不,阻止他们!"
465,"00:29:05,458 --> 00:29:06,750","- Wait! - Come on, come on.",不 阻止他们！！嘿 快点快点！哇 停下！哇！,"- 待着! - 走吧,走吧."
466,"00:29:07,440 --> 00:29:08,260",Stop!,不 阻止他们！！嘿 快点快点！哇 停下！哇！,停下来!
467,"00:29:13,042 --> 00:29:15,846",- I really am just a dumb bunny. - Accident.,不 阻止他们！！嘿 快点快点！哇 停下！哇！,- 我真的只是一个愚蠢的子. - 发生了事故.
468,"00:29:15,871 --> 00:29:17,356","Your words, not mine.",啊 我真的就是个蠢兔子,"你的话,不是我的话."
469,"00:29:26,519 --> 00:29:28,144",Put 'em in the trunk.,啊,把它们放在行李箱里.
470,"00:29:28,851 --> 00:29:29,319",What?,啊,什么? 什么?
471,"00:29:39,375 --> 00:29:42,080",Ter-roar in Tundratown!,啊,在图德拉镇发生了地震!
472,"00:29:42,120 --> 00:29:43,480",A fanging at the fiesta.,苔原小镇的恐怖袭击......在节日庆典上爆发,在聚会上打.
473,"00:29:43,520 --> 00:29:48,280",A hooowl at the gala as a venomous snake attacks the founding family.,苔原小镇的恐怖袭击......在节日庆典上爆发,作为一个有毒的蛇在宴会上喊 袭击了创始家庭.
474,"00:29:48,305 --> 00:29:51,542","More shocking, the snake was aided by embattled ZPD officers",苔原小镇的恐怖袭击......在节日庆典上爆发,"更令人震惊的是, 蛇被战斗中的警察帮助了."
475,"00:29:51,567 --> 00:29:53,494",Nicholas Wilde and Judy Hopps.,盛宴上突发惊魂 毒蛇袭击创始家族,尼古拉斯·怀尔德和朱迪·霍普斯.
476,"00:29:53,528 --> 00:29:57,695",All three now suspects in the tragic fanging of Zootopia's chief of police,更令人震惊的是 这条蛇竟然得到了身陷困境的动物警局警员,现在这三个人都被怀疑在悲剧中 动物园警察局长的
477,"00:29:57,720 --> 00:29:59,800",and considered extremely dangerous.,警官尼古拉斯·王尔德和朱迪的协助,它们被认为是极其危险的.
478,"00:30:00,920 --> 00:30:04,510",Chief Bogo is dead.,这三人现在都被怀疑  与动物城警察局长遭袭身亡的悲剧有关,博戈首席已经死了.
479,"00:30:06,458 --> 00:30:08,120",Those are words I'm glad I don't have to say.,并被视为极度危险人物,我很高兴我不需要说这些话.
480,"00:30:09,208 --> 00:30:10,375",I might have to soon,牛局长,我可能会很快
481,"00:30:10,400 --> 00:30:14,980","the doctor's a little weirded out, but what has happened tonight",我很庆幸自己不必说出这些话,"医生有点变得怪异, 但今晚发生了什么?"
482,"00:30:15,080 --> 00:30:16,820",was more than horseplay!,我很庆幸自己不必说出这些话,这不仅仅是骑马游戏!
483,"00:30:23,137 --> 00:30:25,295",We're going to take that snake down.,但.....今晚发生的事情远不止是嬉闹,我们要拿下那条蛇.
484,"00:30:25,320 --> 00:30:28,420",And the fox and that rabbit.,啊 我们 呃 我们要把那条蛇制服,和狐和那只子.
485,"00:30:29,543 --> 00:30:33,083",Do you know how many mayors they've already destroyed?,啊 我们 呃 我们要把那条蛇制服,你知道有多少人 他们已经摧毁了市长吗?
486,"00:30:35,202 --> 00:30:37,560",One... Two...,还有那只狐狸和那只兔子,"一个,两个."
487,"00:30:38,191 --> 00:30:39,446",I got up to two.,你知道他们已经毁掉了多少位市长吗？,我升到两个.
488,"00:30:39,543 --> 00:30:41,660",Would you like to be three?,你知道他们已经毁掉了多少位市长吗？,你想三岁吗?
489,"00:30:42,713 --> 00:30:45,220",I want them gone.,一,我希望他们离开.
490,"00:30:46,206 --> 00:30:49,867",But aren't there laws?,你想成为三个吗？,但没有法律吗?
491,"00:30:50,559 --> 00:30:54,744","I will say this once, Brian.",我希望他们离开,"我会说一次,布莱恩."
492,"00:30:55,168 --> 00:31:00,079",You will retrieve the journal and bury them.,我只说一遍 布莱恩,你会拿回日记. 埋葬他们.
493,"00:31:01,463 --> 00:31:05,101",Or maybe I chose the wrong mayor.,你要取回日记并埋葬他们,或许我选择了错误的市长.
494,"00:31:07,055 --> 00:31:10,358",Did I choose the wrong mayor?,或许我选错了市长,我选择了错误的市长吗?
495,"00:32:01,375 --> 00:32:05,213",Hey. The phone is the first thing they'll track.,妈妈接管了...,电话. 这是他们会追踪的第一件事.
496,"00:32:06,295 --> 00:32:07,128",Sorry.,嘿 手机是他们首先会追踪的东西,我很抱歉.
